iter	Passed	Remaining
0	3	707
1	7	711
2	9	652
3	13	647
4	16	650
5	18	592
6	22	610
7	25	622
8	29	626
9	33	627
10	36	625
11	40	630
12	43	628
13	47	629
14	50	624
15	54	622
16	57	620
17	61	618
18	64	614
19	68	613
20	71	611
21	75	611
22	78	606
23	82	603
24	85	600
25	89	597
26	92	593
27	96	590
28	99	586
29	103	585
30	106	580
31	109	577
32	113	573
33	115	562
34	118	558
35	121	554
36	125	551
37	129	550
38	132	546
39	136	544
40	139	540
41	142	537
42	146	534
43	149	530
44	153	528
45	156	524
46	160	521
47	163	517
48	166	513
49	169	509
50	173	507
51	177	504
52	180	501
53	183	496
54	186	492
55	190	488
56	193	484
57	196	480
58	199	476
59	203	474
60	207	471
61	210	468
62	213	464
63	216	460
64	220	457
65	223	453
66	227	450
67	230	447
68	234	445
69	237	441
70	241	438
71	244	434
72	247	431
73	251	427
74	254	424
75	257	420
76	260	416
77	263	412
78	267	409
79	270	405
80	273	401
81	276	398
82	280	394
83	283	391
84	286	387
85	289	383
86	292	379
87	295	376
88	298	372
89	301	368
90	304	365
91	308	361
92	311	358
93	314	354
94	317	350
95	320	347
96	323	343
97	326	340
98	329	336
99	332	332
100	336	329
101	339	326
102	342	322
103	345	319
104	348	315
105	351	311
106	354	308
107	357	304
108	360	301
109	364	297
110	367	294
111	370	291
112	373	287
113	376	284
114	379	280
115	382	277
116	385	273
117	388	270
118	391	266
119	394	263
120	397	259
121	400	256
122	404	252
123	407	249
124	410	246
125	413	242
126	417	239
127	420	236
128	425	234
129	429	231
130	433	228
131	438	225
132	442	222
133	446	219
134	449	216
135	453	213
136	459	211
137	463	208
138	467	205
139	470	201
140	475	199
141	479	195
142	483	192
143	488	189
144	492	186
145	496	183
146	499	180
147	504	177
148	507	173
149	511	170
150	515	167
151	519	163
152	522	160
153	526	157
154	529	153
155	533	150
156	537	147
157	541	143
158	545	140
159	548	137
160	552	133
161	555	130
162	559	126
163	562	123
164	565	120
165	569	116
166	572	113
167	576	109
168	579	106
169	583	102
170	586	99
171	589	96
172	593	92
173	597	89
174	601	85
175	604	82
176	608	79
177	611	75
178	614	72
179	617	68
180	621	65
181	625	61
182	628	58
183	631	54
184	635	51
185	638	48
186	641	44
187	645	41
188	649	37
189	652	34
190	656	30
191	659	27
192	662	24
193	666	20
194	669	17
195	673	13
196	677	10
197	680	6
198	684	3
199	688	0
